text,label
"Bộ Công Thương khẳng định nguồn dự trữ hàng hóa vẫn dồi dào, đảm bảo nguồn cung nên khuyến cáo người dân không nên hoang mang, lo lắng.
  ",0
"Bất kỳ ai đang bán hàng - online, có cửa hàng... - thì ko thể bỏ qua cảnh báo dưới đây.

Bởi vì kẻ lừa đảo đã dùng hẳn app ngân hàng xịn để lừa, thế mới... đỉnh :3

[<URL>](<URL>)",0
"**VỪA THÒ ĐẦU RA ĐÃ GÂY CHUYỆN.**
 Sáng nay, Chủ nhật vừa cách đây ít giờ, những phát súng từ phía Bắc Triều tiên được cho là đã bắn trúng một người lính biên phòng Hàn Quốc. Phía Hàn Quốc cũng nổ súng bắn trả. Tình hình trong khu phi quân sự đang rất căng thẳng, theo tổng tham mưu QĐ Hàn quốc tại Seoul cho biết.
 Quân đội Hàn Quốc đã phản ứng bằng hai loạt súng và một cảnh báo chính thức theo thỏa thuận hai chiều. Không có tử vong ở phía Hàn Quốc, theo tuyên bố.
 Nam và Bắc Triều tiên vẫn đang chính thức trong tình trạng chiến tranh vì đã không có hiệp ước hòa bình nào được ký kết sau cuộc chiến tranh Triều tiên 1950-53. Kể từ đó, khu phi quân sự đã tách hai phần của bán đảo Triều tiên. Dải biên giới rộng 4km và dài 250 km.
 Các cuộc tuần tra trong khu vực này được cho phép, nhưng các binh sĩ không được phép vượt qua đường phân giới, tức là đường biên giữa hai nước. Các khu vực trực tiếp giáp với khu phi quân sự là một trong những khu vực được bảo vệ chặt chẽ nhất trên thế giới hiện nay.
 ***Theo tờ THẾ GIỚI.*",1
"Ronaldo từng nói ""Sir Alex như người cha thứ 2"".
Một mối lương duyên trời định, giúp anh từ một cậu bé đá bóng trở thành ngôi sao bậc nhất của thế giới bóng đá đương đại...",0
"4 bộ phim ngôn tình Trung Quốc quy tụ nhiều gương mặt đình đám sẽ là “món ăn tinh thần” của các ""mọt phim"" trong mùa dịch COVID-19.",0
"Vụ nước sạch sông Đuống té ra dân tình chửi oan shark Liên. Shark Liên góp mỗi cái tên chứ có góp đồng nào đâu. Tay không bắt giặc.
 ""Vốn đầu tư vào Nhà máy nước Sông Đuống của Shark Liên tròm trèm 5.000 tỷ đồng thì Ngân hàng VietinBank góp 58% vốn rồi còn cho vay gần 3.000 tỷ đồng.""",1
"Thế này trói hết cựa!

“Trong đó, ngoài việc hướng dẫn cơ quan quản lý nhà nước xử phạt cơ quan báo chí đăng tải thông tin sai sự thật, thì cơ quan hành chính nhà nước được phép từ chối không trả lời cơ quan báo chí đi tìm hiểu vấn đề không đúng tôn chỉ mục đích của báo.:.”",0
"HÃY SHARE ĐỂ CỨU NGƯỜI!
KẺ GIẾT NGƯỜI LÀ NGUYỄN VĂN NGHỊ, CHỨ KHÔNG PHẢI LÀ HẢI

Vụ án tử tù Hồ Duy Hải:  Đơn tố giác đối tượng Nguyễn Văn Nghị của gia đình Hồ Duy Hải

BLA: Từ tháng 5-2015, gia đình Hồ Duy Hải đã gửi lá đơn dưới đây đến Tòa án và Viện kiểm sát nhân dân tỉnh Long An, tố giác một người tên là Nguyễn Văn Nghị có dấu hiệu là hung thủ trong vụ án Bưu điện Cầu Voi mà Hồ Duy Hải bị kết án tử hình và đang kêu oan. Tới nay vẫn chưa có kết quả giải quyết của các cơ quan chức năng. Xét rằng một mạng người có thể chết oan là không thể chấp nhận được, và gây nguy hại cho uy tín của nền tư pháp nước nhà, nên chúng tôi quyết định công khai lá đơn này.

CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập – Tự do – Hạnh phúc

Long An, ngày 11 tháng 5 năm 2015

ĐƠN TỐ GIÁC TỘI PHẠM

(V/v: Ông Nguyễn Văn Nghị có nhiều dấu hiệu là người
đã giết hại hai nữ nhân viên tại Bưu điện Cầu Voi)

Người tố giác: NGUYỄN THỊ LOAN, sinh 1963
Địa chỉ: ấp 1, xã Nhị Thành, huyện Thủ Thừa, tỉnh Long An.
NỘI DUNG ĐƠN
I. Nhiều bài báo phản ánh Nguyễn Văn Nghị có mặt tại Bưu điện Cầu Voi tối 13/1/2008 và có liên quan đến vụ giết người:
1. Tóm tắt vụ án:
2. Nội dung đăng trên báo chí về sự liên quan của Nguyễn Văn Nghị:
* Báo Thanh Niên:
* Báo Người Lao Động:
* Báo Pháp luật Việt Nam:
II. Kết luận chủ quan và sai lầm về thời gian gây án của Cơ quan điều tra tỉnh Long An:
1. Dấu hiệu “thức ăn đã nhuyễn” cho thấy hai nạn nhân phải bị giết sau 22 giờ đêm:
2. Máu của hai nạn nhân không thể chưa đông/ khô sau hơn 13 giờ kể từ thời điểm chết:
3. Tình tiết mới: Lúc 22h tầng 1 Bưu Điện còn đèn sáng với nhiều nghi vấn
4. Sự mâu thuẫn trong lời khai về thời điểm nghe tiếng kêu và thời điểm Vân mua trái cây chưa được làm rõ:
III. Phân tích về khả năng phạm tội của Nguyễn Văn Nghị
1. Về ý thức chủ quan:
2. Những dấu hiệu khách quan:
2.1. Nguyễn Văn Nghị chắc chắn đã có mặt tại Bưu điện Cầu Voi.
2.2. Tình tiết Nghị có mặt tại quán cà phê lúc khoảng 20h10’ không/chưa đủ cơ sở để kết luận Nghị ngoại phạm.
2.3. Vì sao Nghị phải bỏ trốn?
2.4. Kết luận giám định về việc thức ăn đã tiêu hóa trong dạ dày hai nạn nhân và nhiều tình tiết khác cho thấy rõ khả năng hai nạn nhân đã bị sát hại vào khoảng từ 21h trở về sau.
2.5. Ánh đèn sáng trên lầu 1 Bưu điện vào lúc 22h đêm cho thấy ít nhất một trong hai nạn nhân đã ở trên lầu trong đêm hôm xảy ra án mạng.
2.6. Cửa đi lên lầu 1 bị khóa cho thấy có sự bất thường và khả năng có dấu vết tội phạm.
2.7. Dấu vân tay của ai?
2.8. Dấu dép trên mặt ghế
2.9. Các “vét bầm” ở chân nạn nhân Hồng
2.10. Ai đã mang mút xốp đến bưu điện Cầu Voi, phải chăng mút xốp dùng để gói “con dao còn mới tinh”?
2.11. Ai đã tắt đèn tại Bưu Cục trong đêm xảy ra vụ án?
2.12. Có đúng là Hồ Duy Hải đã đưa tiền cho Vân đi mua trái cây?
IV. Hàng loạt sai sót và vi phạm thể hiện dấu hiệu “chạy tội” cho Nguyễn Văn Nghị
1. Việc có mặt ở quán cà phê lúc 20h10’ không phải là tình tiết ngoại phạm của Nguyễn Văn Nghị
2. Vì sao Nguyễn Văn Nghị không được đưa vào danh sách “nhân chứng” – kể cả trong trường hợp Hồ Duy Hải là hung thủ?
3. Vì sao không tiến hành đối chất, làm rõ thời gian gây án?
4. Vì sao toàn bộ thông tin có liên quan đến Nguyễn Văn Nghị đều bị rút khỏi hồ sơ vụ án?
5. Vì sao không tiến hành việc cho Nguyễn Văn Nghị nhận dạng hung thủ?
6. Vì sao không giám định vân tay của Nguyễn Văn Nghị?
V. Những tình tiết oan sai cơ bản của Hồ Duy Hải
1. Dấu vân tay thu giữ tại hiện trường không phải là của Hồ Duy Hải:
2. Không có ai nhận diện Hồ Duy Hải có mặt tại bưu điện Cầu Voi vào buổi tối xảy ra vụ án:
3. Qui kết giết người bằng dao, ghế nhưng không hề thu giữ được tang vật nào:
4. Chỉnh sửa lời khai, biên bản trái qui định, làm sai lệch hồ sơ vụ án:
VI. Kiến nghị:
1. Làm rõ tình tiết đêm 13/1/2008, sau khi rời khỏi quán cà phê (lúc khoảng 20h10) Nguyễn Văn Nghị đã làm gì? Ở đâu?
2. Làm rõ tình tiết ánh đèn sáng trên lầu 1 lúc 22h tối 13/1/2008. Ai đã lên lầu 1 và cắt điện tại Bưu điện Cầu Voi tối 13/1/2008?
3. Làm rõ thời gian chết của hai nạn nhân. Qua đó xác định chính xác thời gian gây án của hung thủ.
4. Tiến hành giám định vân tay đối với Nguyễn Văn Nghị so sánh với mẫu dấu vân tay của hung thủ thu giữ tại hiện trường.
5. Làm rõ lý do vì sao không triệu tập Nguyễn Văn Nghị làm nhân chứng và rút toàn bộ thông tin, lời khai của Nguyễn Văn Nghị ra khỏi hồ sơ vụ án.",1
"Bế tắc trong cuộc sống nên cho con và cháu gái uống thuốc ngủ để cùng chết, bà Nguyễn Thị Thảo, 50 tuổi, bị truy tố ở khung hình phạt cao nhất.

VKSND TP HCM vừa ban hành cáo trạng truy tố bà Thảo về tội Giết người theo khoản 1, Điều 123 BLHS có hình phạt từ 12 đến 20 năm, tù chung thân hoặc tử hình.

Tuy nhiên, VKS đề nghị toà áp dụng các tình tiết giảm nhẹ cho bà Thảo như: phạm tội vì hoàn cảnh đặc biệt khó khăn, chưa gây thiệt hại, thành khẩn khai báo, ăn năn hối cải...

Theo cáo trạng, bà Thảo sống cùng con gái 11 tuổi và cháu gái 6 tuổi tại nhà trọ trong chợ Võ Thành Trang, quận Tân Bình. Do hoàn cảnh khó khăn, công việc không ổn định, chồng và con gái lớn bỏ đi nên bà Thảo buồn chuyện gia đình nảy sinh ý định tự tử.

Chiều 1/5/2019, sau khi uống hết 15.000 đồng rượu, bà Thảo đưa cho con gái 20.000 đồng kêu đi mua vỉ thuốc ngủ về cho bà ""uống để chết"". Cô bé ra tiệm thuốc tây gần nhà mua một vỉ 10 viên đưa cho mẹ rồi hỏi: ""Mẹ chết con sống với ai"". Hai đứa trẻ ôm mẹ và bà ngoại khóc đòi chết theo.

Sợ mình chết không ai nuôi con và cháu nên bà Thảo đưa tiếp cho cô bé 20.000 đồng đi mua thêm vỉ khác về ""uống để cùng chết"". Khi con mang vỉ thuốc thứ 2 về, bà Thảo chia cho con và cháu mỗi đứa 5 viên. Uống xong, ba người ôm nhau ngủ.

Lúc sau, em kết nghĩa của bà Thảo là bà Hồng đến thăm. Đến nơi, bà gọi mãi không đánh thức được bà Thảo, hai đứa trẻ lả đi. Bà Hồng tri hô, cùng hàng xóm đưa hai bé đến Bệnh viện Nhi Đồng 1, bà Thảo cũng được đưa đến Bệnh viện quận Tân Phú. Cấp cứu kịp thời, bà Thảo cùng con và cháu thoát chết.

Làm việc với cơ quan điều tra, bà Thảo nhiều lần khóc vì hối hận. Do hoàn cảnh đặc biệt khó khăn nên bà được tại ngoại để đi làm, kiếm tiền nuôi con cháu.

Theo Vnexpress",0
"Ơ hay nè, VN mình cũng làm tới luôn!

“Cách hoạt động của Remove China Apps khá đơn giản, nó sẽ quét thiết bị và báo cho người dùng biết có ứng dụng nào cài trên máy có nguồn gốc Trung Quốc không, ví dụ như TikTok.

Hầu hết lượt tải Remove China Apps là ở Ấn Độ, nhưng dữ liệu phân tích của Hãng khảo sát App Annie cho thấy ứng dụng đang phổ biến ở Úc trong vài ngày gần đây, đẩy nó lên hạng 5 trong mục app công cụ dành cho Android tại Úc...”",0
