text,label
"ĐẾN 18H CHIỀU 10/4 : THÊM 2 CA MẮC COVID-19 ➡️ BN 256 :Nam , 52 tuổi , quốc_tịch Việt_Nam , có địa_chỉ ở Đình_Dù , Văn_Lâm , Hưng_Yên .Ngày 27/3 , bệnh_nhân từ Nga về sân_bay Nội_Bài trên chuyến bay số_hiệu SU 290 .Sau khi nhập_cảnh , bệnh_nhân được chuyển cách_ly tập_trung tại Trường Văn_hoá Nghệ_thuật tỉnh Vĩnh_Phúc .Hiện bệnh_nhân được cách_ly , điều_trị tại Bệnh_viện Bệnh Nhiệt_đới Trung_ương cơ_sở 2 .➡️ BN 257 :Nữ , 15 tuổi , quốc_tịch Việt_Nam , trú tại xóm Hội , Hạ_Lôi , Mê_Linh , Hà_Nội .Bệnh_nhân là học_sinh , đang nghỉ học ở nhà , không đi đâu .Ngày 20/3 , BN243 ( là bạn của bố bệnh_nhân ) đến nhà chơi và nói_chuyện với bố bệnh_nhân .Ngày 8/4 , bệnh_nhân có biểu_hiện sốt , chảy nước_mũi .Ngày 9/4 , bệnh_nhân được lấy mẫu xét_nghiệm .Ngày 10/4 , xét_nghiệm cho kết_quả dương_tính với virus SARS-CoV -2 .Bố bệnh_nhân cũng đã được lấy mẫu xét_nghiệm và cho kết_quả âm_tính .Hiện bệnh_nhân đang được cách_ly , điều_trị tại Bệnh_viện Bệnh Nhiệt_đới Trung_ương cơ_sở 2 .",1
"Thế giới tuần qua: Nợ công Mỹ tăng kinh hoàng vượt 26.000 tỷ USD, kinh tế Anh sụt giảm kỷ lục
Nợ công Mỹ lần đầu tiên trong lịch sử vượt mốc 26.000 tỷ USD, kinh tế Anh sụt giảm tới 24,5% GDP so với cùng kỳ năm 2019, Brazil bùng nổ số ca nhiễm Covid-19… là những tin tức quốc tế nổi bật trong tuần qua..

Dịch Covid-19 đúng là đáng sợ thiệt chứ.",1
"Sự_cố đứt cáp AAG không ảnh_hưởng tới chất_lượng các trang Internet , ứng_dụng trong nước như học_tập từ xa , đào_tạo từ xa sử_dụng các nền_tảng phần_mềm do doanh_nghiệp Việt_Nam phát_triển và server đặt tại Việt_Nam .",1
"TRIỆU CHỨNG NHIỄM CORONA QUA TỪNG NGÀY 🛑Ngày 1 ~ Ngày 3 – Triệu chứng giống bệnh cảm – Viêm họng nhẹ, hơi đau – Không nóng sốt. Không mệt mỏi. Vẫn ăn uống bình thường... 🛑Ngày 4 – Cổ họng đau nhẹ, người nôn nao. – Bắt đầu khan tiếng. – Nhiệt độ cơ thể dao động 36.5~ (tuỳ người) – Bắt đầu chán ăn. – Đau đầu nhẹ – Tiêu chảy nhẹ 🛑Ngày 5 – Đau họng, khan tiếng hơn – Cơ thể nóng nhẹ. Nhiệt độ từ 36.5~36.7 – Người mệt mỏi, cảm thấy đau khớp xương ** Giai đoạn này khó nhận ra là cảm hay là nhiễm corona 🛑Ngày 6 – Bắt đầu sốt nhẹ, khoảng 37 – Ho có đàm hoặc ho khan – Đau họng khi ăn, nói hay nuốt nước bọt – Mệt mỏi, buồn nôn – Thỉnh thoảng khó khăn trong việc hít thở – Lưng, ngón tay đau lâm râm – Tiêu chảy, có thể nôn ói 🛑Ngày 7 – Sốt cao hơn từ 37.4~37.8 – Ho nhiều hơn, đàm nhiều hơn. – Toàn thân đau nhức. Đầu nặng như đeo đá – Tần suất khó thở vẫn như cũ. – Tiêu chảy nhìu hơn – Nôn ói 🛑Ngày 8 – Sốt gần mức 38 hoặc trên 38 – Khó thở hơn, mỗi khi hít thở cảm thấy nặng lồng ngực. Hơi thở khò khè – Ho liên tục, đàm nhiều, tắt tiếng – Đầu đau, khớp xương đau, lưng đau… 🛑Ngày 9 – Các triệu chứng không thay đổi mà trở nên nặng hơn. – Sốt tăng giảm lộn xộn – Ho không bớt mà nặng hơn trước. – Dù cố gắng vẫn cảm thấy khó hít thở. ** Tại thời điểm này, nên đi xét nghiệm máu và chụp XQuang phổi để kiểm tra P/S: *** Lời khuyên tốt nhất là nên đi khám bác sĩ ngay sau khi có triệu chứng Ho và Sốt *** – Triệu chứng thay đổi tuỳ theo sức đề kháng của từng người. Ai khoẻ thì mất 10-14 ngày mới phát hiện. Ai không khoẻ thì 4-5 ngày. 👉Mọi người lưu ý : – Đeo khẩu trang khi có thể ( khẩu trang vải cũng được, giặt thường xuyên). – Rửa tay, rửa tay và rửa tay. – Tránh tụ tập đông người. – Nạp thêm Vitamin C để tăng sức đề kháng. – Vệ sinh đồ dùng cá nhân như điện thoại, laptop thường xuyên. 😷NẾU LỠ VƯỚNG VIRUS CORONA, BẠN NÊN LÀM GÌ ĐỂ THOÁT HIỂM? (Lời khuyên của một bác sĩ) Các bạn nên dành chút thời gian đọc bài viết, để có chút kinh nghiệm dành cho bản thân và gia đình bạn bè, phòng trường hợp không may lỡ vướng phải con virus độc ác này. Khi bạn biết mình bị lây nhiễm con virut CORONA Vũ Hán vì ho nhiều, đau ngực, khó thở, nhức đầu và tiêu chảy – người bị nóng sốt lâu không cảm thấy giảm thì hãy làm đúng sau đây: (1) Uống thuốc Tylenol giúp hạ nhiệt và đắp khăn lạnh vào đầu.. Tuyệt đối không sợ hãi, phải thật bình tĩnh vì sống chết có số mạng – mình cố gắng tận hết sức mình – càng sợ hãi về tâm lý thì cơ hội mình càng ít hy vọng hơn – nhớ thật kỹ là không gì sợ hãi khi nhiễm bệnh. (2) Tự mình cách ly với gia đình, người thân – tìm một nơi thoáng mát nằm nghỉ ngơi – một nơi có cửa sổ đưa nhiều không khí vào (3) Mỗi ngày uống nhiều nước cỡ 3 lít – 1 ly nước cam và cố gắng ăn đủ bữa. Cố gắng ăn để cơ thể đủ sức chống lại Virus – nhịn đói rất nguy hại. Nếu khó ăn quá, ăn không nỗi thì uống 1 ly nước trà ấm pha đường tạm thời. (4) Lúc người nóng sốt thì cơ thể lại cảm thấy lạnh nên ai cũng muốn đắp chăn trùm kín – đây là đều tối kị – không nên đắp chăn dù cảm thấy ớn lạnh – đắp tấm khăn mỏng thôi – Người trong nhà giúp người bệnh (nhớ mặc áo mưa nilon và đeo khẩu trang) – Giúp bằng cách đắp khăn lạnh lên đầu người bệnh giúp hạ nhiệt, thay khăn lạnh nhiều lần… (5) Tylenol là thuốc tốt nhất sử dụng trong lúc ngực bị đau và uống thuốc ho nếu bị ho nhiều – NHỚ CHO KỸ thuốc ho (6) Sau khi ăn đủ bữa, uống thuốc giảm đau và thuốc ho thì cố gắng ngủ càng nhiều, cành tốt. Thức dậy thấy đói bụng thì uống 1 ly nước trước khi dùng bữa. (7) Nếu quý bạn làm đúng theo lời dặn này thì cơ hội hết bệnh rất cao và bệnh sẽ giảm dần sau 7 ngày – Sau khi hết bệnh này thì cơ thể bạn đã có kháng tố chống lại con virus Vũ Hán, tuy nhiên phổi sẽ bị hơi đau đôi khi và sẽ khỏi sau 1 tháng. Trong thời gian hết bệnh thì nên tập thở mỗi buổi sáng sớm lúc không khí trong lành. Coronavirus có thể không có dấu hiệu bị lây nhiễm trong nhiều ngày, làm thế nào để biết người đó có bị nhiễm bệnh hay không. Vào thời điểm họ bị sốt và / hoặc ho và đến bệnh viện, phổi thường là 50% Xơ hóa và đã quá muộn! Các chuyên gia Đài Loan cung cấp một cách tự kiểm tra đơn giản mà chúng ta có thể làm mỗi sáng: Hít một hơi thật sâu và nín thở trong hơn 10 giây. Nếu bạn hoàn thành nó mà không ho, không khó chịu, ngột ngạt hoặc căng cứng, v.v … điều đó chứng tỏ không có xơ hóa trong phổi, về cơ bản cho thấy không bị lây nhiễm. Trong những thời điểm quan trọng, bạn nên tự kiểm tra mỗi buổi sáng trong một môi trường có không khí sạch! Lời khuyên nghiêm túc của các bác sĩ Nhật Bản điều trị các trường hợp Covid-19. Mọi người nên đảm bảo miệng & cổ họng của bạn ẩm, không bao giờ KHÔ. Uống vài ngụm nước sau mỗi ít nhất 15 phút. TẠI SAO? Ngay cả khi vi-rút xâm nhập vào miệng bạn … nước uống hoặc các chất lỏng khác sẽ quét chúng xuống qua thực quản và vào dạ dày. Khi đã ở trong bụng … ACID dạ dày của bạn sẽ tiêu diệt tất cả virus. Nếu bạn không uống đủ nước thường xuyên hơn … virus có thể xâm nhập vào khí quản của bạn và vào PHỔI. Điều đó rất nguy hiểm. Xin nhắc nhở mọi người về điều này! Triệu chứng của Covid-19 và cách tự bảo vệ mình – Lời khuyên của bác sĩ Nhật Bản & Đài Loan Theo Korea News Xem thêm",0
<URL> bị phong tỏa từ ngày 28-3... Phong tỏa 14 ngày luôn nhé...,0
"TỔN THƯƠNG PHỔI CỦA BỆNH NHÂN ĐÃ CHIẾM 90%

🛌 Trong cuộc hội chẩn liên viện về BN 91 diễn ra chiều 12/5 tại các điểm cầu, Thứ trưởng Bộ Y tế Nguyễn Trường Sơn, Trưởng Tiểu ban Điều trị bệnh nhân COVID-19 cho biết, Bộ Y tế giao cho Trung tâm Ghép tạng quốc gia, BV Việt Đức làm các thủ tục để chuẩn bị ghép tạng cho bệnh nhân.

Thứ trưởng Nguyễn Trường Sơn thống nhất với ý kiến của các chuyên gia về BN 91 có chỉ định ghép phổi vì tổn thương phổi của bệnh nhân đã chiếm 90%. Tuy nhiên để có thể ghép được, bệnh nhân phải được đánh giá lại tình trạng nhiễm trùng, nuôi cấy, xác định sự tồn tại của SAR-CoV-2 trong cơ thể. Khi khẳng định ""sạch"" virus, bệnh nhân sẽ được chuyển sang BV Chợ Rẫy để chuẩn bị ghép phổi.

Cùng với việc chuẩn bị các phương án về chuyên môn, kỹ thuật, nhân lực, nguồn tạng, Tiểu ban Điều trị cũng xem xét các thủ tục về pháp lý và kinh phí điều trị cho người bệnh.

---
📸: Hình ảnh qua camera của BN 91 điều trị tại Bệnh viện Bệnh nhiệt đới TPHCM Ảnh Hương Nguyễn/VTV24",1
MỌI NGƯỜI CẨN TRỌNG: Bộ Y tế hôm nay 25-5 thông báo hệ thống giám sát bệnh truyền nhiễm vừa phát hiện một bệnh nhân nhiễm virus Zika. Đây là virus gây bệnh đầu nhỏ từng khiến dư luận hoang mang.,1
"Để tham gia ủng hộ quỹ phòng, chống dịch bệnh Covid-19, người dân chỉ cần nhắn tin tới tổng đài 1407. Ngoài số tiền đóng góp, việc nhắn tin ủng hộ sẽ không bị nhà mạng tính phí.",1
"GƯƠNG MẶT SHOWBIZ | GIẢI ĐÁP TẤT TẦN TẬT VỀ 'ANH THANH NIÊN' HUYR

Liên tục có những sản phẩm gây sốt như ""Cô gái m52"", ""Anh thanh niên"" và mới đây là dự án ""Sài Gòn của anh"" kết hợp cùng K-ICM, HuyR là ai? Mời khán giả theo dõi Gương mặt showbiz.

#HuyR #KICM #Anhthanhniên #SàiGòncủaanh #Gươngmặtshowbiz     #iHayTV",1
Xem xét chuyển đổi một số dự án PPP cao tốc Bắc Nam sang đầu tư công,1
